Price,Square Area,Bedrooms,Bathrooms,Security,Airconditioning,Parking,Balcony,Rating,ReviewsCount,Swimming pool,Multi-Purpose Hall,Function Rooms,Gym,Study Hall,Furnishing_Fully Furnished,Furnishing_Semi Furnished,Furnishing_Unfurnished
1800,19,1,1,0,1,0,0,4.3,66.5,1,1,1,0,1,0,0,1
3000,12,1,1,1,1,0,0,4.3,66.5,1,1,0,1,0,0,0,1
3000,20,0,1,1,1,0,0,5,1,0,0,0,0,0,0,0,1
3250,23,1,1,1,0,0,0,4.3,66.5,1,0,0,1,1,0,0,1
3300,24,1,1,1,1,0,0,4.2,163,1,0,0,1,1,0,0,1
3400,24,0,1,1,1,0,0,4.3,66.5,1,0,0,1,0,0,0,1
3600,14,0,1,1,1,0,0,4.3,66.5,0,0,0,1,0,0,0,1
4200,19,0,1,1,0,0,0,3.9,58,1,0,0,0,0,0,0,1
4500,19,0,1,1,0,0,0,4.3,66.5,0,1,1,1,1,0,0,1
5000,22,1,1,0,0,0,0,4.6,16,0,0,0,1,0,0,0,1
5000,12,0,1,0,0,0,0,5,1,0,1,0,0,0,0,0,1
5000,19,0,1,1,0,0,0,4.6,16,0,0,1,1,0,0,0,1
5000,24,0,1,0,0,0,0,4.6,16,0,1,0,0,0,0,0,1
5500,25,1,1,1,1,0,0,4.7,6,1,1,1,0,1,0,0,1
5500,15,0,1,0,1,0,0,4.3,66.5,0,0,1,0,0,0,0,1
6000,15,1,1,0,0,0,0,4.3,66.5,1,1,1,0,0,0,0,1
6300,13,0,1,1,1,0,0,4.4,7658,0,1,0,1,0,0,0,1
7000,23,0,1,0,1,0,0,4.3,66.5,1,1,0,1,1,0,0,1
7000,20,0,1,0,1,0,0,4.3,66.5,1,0,1,1,0,0,0,1
7500,20,1,1,0,1,0,0,4.6,12990,0,0,0,0,1,0,0,1
7500,22,0,1,0,0,0,0,4.3,66.5,0,1,0,1,0,0,0,1
8000,25,1,1,1,0,0,0,4.3,66.5,0,1,1,1,0,0,0,1
8000,16,1,1,1,1,0,0,4.3,66.5,0,1,0,0,0,0,0,1
8000,21,1,1,1,1,0,0,4.7,6,0,0,0,1,1,0,0,1
8500,21,1,1,1,0,0,0,4.3,66.5,0,0,1,0,0,0,0,1
8500,21,0,1,1,1,0,0,4.3,66.5,1,1,0,1,1,0,0,1
8500,18,1,1,1,1,0,0,4.3,66.5,0,1,1,1,1,0,0,1
8500,16,1,1,0,0,0,0,4.3,66.5,0,1,0,0,1,0,0,1
8640,21,1,1,0,0,0,0,4.3,66.5,1,1,1,0,1,0,0,1
9000,16,1,1,0,1,0,0,4.3,66.5,1,0,1,1,1,0,0,1
9000,15,1,1,0,0,0,0,4.3,66.5,0,1,1,0,1,0,0,1
9000,12,0,1,0,0,0,0,4.6,12990,1,1,1,0,0,0,0,1
9000,20,1,1,0,0,0,0,4.6,12990,1,0,1,1,0,0,0,1
9000,25,0,1,1,1,0,0,4.3,66.5,0,0,0,0,0,0,0,1
9500,25,0,1,1,1,0,0,4.3,66.5,0,1,1,1,0,0,0,1
9500,22,1,1,1,1,0,0,4.3,66.5,1,1,0,0,1,0,0,1
9500,15,0,1,1,1,0,0,4.3,66.5,0,1,1,1,1,0,0,1
9500,13,1,1,1,1,0,0,4,4,0,0,1,0,0,0,0,1
9500,14,1,1,1,1,0,0,4.4,87,1,0,1,0,1,0,0,1
9800,23,1,1,1,1,0,0,4.3,66.5,0,0,0,1,0,0,0,1
10000,14,1,1,1,1,0,0,4.3,66.5,1,0,1,0,0,0,0,1
10000,14,0,1,1,0,0,0,4.3,66.5,1,0,1,0,1,0,0,1
