Price,Square Area,Bedrooms,Bathrooms,Security,Airconditioning,Parking,Balcony,Rating,ReviewsCount,Swimming pool,Multi-Purpose Hall,Function Rooms,Gym,Study Hall,Furnishing_Fully Furnished,Furnishing_Semi Furnished,Furnishing_Unfurnished,price_per_sqm,amenities_count,size_category_Large,size_category_Medium,size_category_Small,size_category_Studio,occupancy_demand_High Demand,occupancy_demand_Low Demand,occupancy_demand_Medium Demand
1800.0,19.0,1.0,1.0,0.0,1.0,0.0,0.0,4.3,66.5,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,94.73684210526316,5.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
3000.0,12.0,1.0,1.0,1.0,1.0,0.0,0.0,4.3,66.5,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,250.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
3000.0,20.0,0.0,1.0,1.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,150.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
3250.0,23.0,1.0,1.0,1.0,0.0,0.0,0.0,4.3,66.5,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,141.30434782608697,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
3300.0,24.0,1.0,1.0,1.0,1.0,0.0,0.0,4.2,163.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,137.5,5.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
3400.0,24.0,0.0,1.0,1.0,1.0,0.0,0.0,4.3,66.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,141.66666666666666,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
3600.0,14.0,0.0,1.0,1.0,1.0,0.0,0.0,4.3,66.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,257.14285714285717,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
4200.0,19.0,0.0,1.0,1.0,0.0,0.0,0.0,3.9,58.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,221.05263157894737,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
4500.0,19.0,0.0,1.0,1.0,0.0,0.0,0.0,4.3,66.5,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,236.8421052631579,5.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
5000.0,22.0,1.0,1.0,0.0,0.0,0.0,0.0,4.6,16.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,227.27272727272728,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
